wp_id,old_url,new_permalink,output_file
6,https://gdfm.me/2009/11/18/6/,/blog/2009/11/6/,/mnt/data/kenkyuu_jekyll_blog_clean_frontmatter/_posts/2009-11-18-6.md
4,https://gdfm.me/2009/12/18/cloudbert/,/blog/2009/12/cloudbert/,/mnt/data/kenkyuu_jekyll_blog_clean_frontmatter/_posts/2009-12-18-cloudbert.md
26,https://gdfm.me/2010/01/18/petabyte-scale-cloud-computing/,/blog/2010/01/petabyte-scale-cloud-computing/,/mnt/data/kenkyuu_jekyll_blog_clean_frontmatter/_posts/2010-01-18-petabyte-scale-cloud-computing.md
40,https://gdfm.me/2010/01/22/scale-free-systems/,/blog/2010/01/scale-free-systems/,/mnt/data/kenkyuu_jekyll_blog_clean_frontmatter/_posts/2010-01-22-scale-free-systems.md
47,https://gdfm.me/2010/01/22/grad-school-unemployment/,/blog/2010/01/grad-school-unemployment/,/mnt/data/kenkyuu_jekyll_blog_clean_frontmatter/_posts/2010-01-22-grad-school-unemployment.md
52,https://gdfm.me/2010/02/14/morning-thought/,/blog/2010/02/morning-thought/,/mnt/data/kenkyuu_jekyll_blog_clean_frontmatter/_posts/2010-02-14-morning-thought.md
53,https://gdfm.me/2010/02/20/hpc-europa2/,/blog/2010/02/hpc-europa2/,/mnt/data/kenkyuu_jekyll_blog_clean_frontmatter/_posts/2010-02-20-hpc-europa2.md
56,https://gdfm.me/2010/02/21/phd-thesis-proposal/,/blog/2010/02/phd-thesis-proposal/,/mnt/data/kenkyuu_jekyll_blog_clean_frontmatter/_posts/2010-02-21-phd-thesis-proposal.md
63,https://gdfm.me/2010/02/24/unbelieavable-verdict/,/blog/2010/02/unbelieavable-verdict/,/mnt/data/kenkyuu_jekyll_blog_clean_frontmatter/_posts/2010-02-24-unbelieavable-verdict.md
69,https://gdfm.me/2010/02/25/morning-thought-2/,/blog/2010/02/morning-thought-2/,/mnt/data/kenkyuu_jekyll_blog_clean_frontmatter/_posts/2010-02-25-morning-thought-2.md
